Período Exibido GE,Data Dica,nom_tipousinasite,geracao,Normalização Média,Normalização Máximo
5,2025-01-06 00:00:00,Solar,0,0,0
5,2025-01-06 01:00:00,Solar,0,0,0
5,2025-01-06 02:00:00,Solar,0,0,0
5,2025-01-06 03:00:00,Solar,0,0,0
5,2025-01-06 04:00:00,Solar,0,0,0
5,2025-01-06 05:00:00,Solar,1,0.0979020979020979,0.030303030303030304
5,2025-01-06 06:00:00,Solar,5,0.48951048951048953,0.15151515151515152
5,2025-01-06 07:00:00,Solar,14,1.3706293706293706,0.42424242424242425
5,2025-01-06 08:00:00,Solar,21,2.0559440559440563,0.6363636363636364
5,2025-01-06 09:00:00,Solar,27,2.6433566433566433,0.8181818181818182
5,2025-01-06 10:00:00,Solar,32,3.132867132867133,0.9696969696969697
5,2025-01-06 11:00:00,Solar,33,3.230769230769231,1
5,2025-01-06 12:00:00,Solar,32,3.132867132867133,0.9696969696969697
5,2025-01-06 13:00:00,Solar,30,2.937062937062937,0.9090909090909091
5,2025-01-06 14:00:00,Solar,27,2.6433566433566433,0.8181818181818182
5,2025-01-06 15:00:00,Solar,21,2.0559440559440563,0.6363636363636364
5,2025-01-06 16:00:00,Solar,14,1.3706293706293706,0.42424242424242425
5,2025-01-06 17:00:00,Solar,6,0.5874125874125875,0.18181818181818182
5,2025-01-06 18:00:00,Solar,1,0.0979020979020979,0.030303030303030304
5,2025-01-06 19:00:00,Solar,0,0,0
5,2025-01-06 20:00:00,Solar,0,0,0
5,2025-01-06 21:00:00,Solar,0,0,0
5,2025-01-06 22:00:00,Solar,0,0,0
5,2025-01-06 23:00:00,Solar,0,0,0
5,2025-01-07 00:00:00,Solar,0,0,0
5,2025-01-07 01:00:00,Solar,0,0,0
5,2025-01-07 02:00:00,Solar,0,0,0
5,2025-01-07 03:00:00,Solar,0,0,0
5,2025-01-07 04:00:00,Solar,0,0,0
5,2025-01-07 05:00:00,Solar,1,0.0979020979020979,0.030303030303030304
5,2025-01-07 06:00:00,Solar,6,0.5874125874125875,0.18181818181818182
5,2025-01-07 07:00:00,Solar,14,1.3706293706293706,0.42424242424242425
