date;load
13-10-25 00:00:00;70.267,32299999
13-10-25 01:00:00;67.627,35099999
13-10-25 02:00:00;65.990,63499999
13-10-25 03:00:00;65.179,29599998
13-10-25 04:00:00;65.614,92200000
13-10-25 05:00:00;67.768,84499998
13-10-25 06:00:00;72.333,13999999
13-10-25 07:00:00;77.478,71599999
13-10-25 08:00:00;83.131,71899998
13-10-25 09:00:00;86.015,99599999
13-10-25 10:00:00;88.630,70399998
13-10-25 11:00:00;89.253,34799999
13-10-25 12:00:00;87.416,73099998
13-10-25 13:00:00;88.368,89499999
13-10-25 14:00:00;89.683,01499999
13-10-25 15:00:00;89.345,97699998
13-10-25 16:00:00;89.207,96500000
13-10-25 17:00:00;87.654,06199999
13-10-25 18:00:00;90.395,72499998
13-10-25 19:00:00;92.484,93199999
13-10-25 20:00:00;91.405,04999999
13-10-25 21:00:00;90.176,22299999
13-10-25 22:00:00;86.581,69300000
13-10-25 23:00:00;81.243,59700000
14-10-25 00:00:00;73.512,67599998
14-10-25 01:00:00;70.824,51199998
14-10-25 02:00:00;69.388,90199999
14-10-25 03:00:00;68.381,49999998
14-10-25 04:00:00;68.419,45799999
14-10-25 05:00:00;70.165,28599999
14-10-25 06:00:00;74.383,55699998
14-10-25 07:00:00;79.574,27700000
14-10-25 08:00:00;83.221,43799999
14-10-25 09:00:00;84.525,12999998
14-10-25 10:00:00;86.389,06999999
14-10-25 11:00:00;86.987,63800000
14-10-25 12:00:00;83.746,09000000
14-10-25 13:00:00;84.690,79100000
14-10-25 14:00:00;86.113,06000000
14-10-25 15:00:00;86.829,06199999
14-10-25 16:00:00;87.922,02099996
14-10-25 17:00:00;87.439,37999998
14-10-25 18:00:00;90.772,12999999
14-10-25 19:00:00;92.658,54499999
14-10-25 20:00:00;91.172,60099999
14-10-25 21:00:00;89.801,59299997
14-10-25 22:00:00;86.346,71299999
14-10-25 23:00:00;81.062,09499996
15-10-25 00:00:00;75.961,93099998
15-10-25 01:00:00;72.280,15899998
15-10-25 02:00:00;69.862,61499998
15-10-25 03:00:00;68.719,76199999
15-10-25 04:00:00;68.716,25399999
15-10-25 05:00:00;69.751,29399997
15-10-25 06:00:00;72.507,56399999
15-10-25 07:00:00;76.389,30700000
15-10-25 08:00:00;79.228,78499999
15-10-25 09:00:00;80.469,26800000
15-10-25 10:00:00;82.821,75399999
15-10-25 11:00:00;83.917,03499999
15-10-25 12:00:00;82.038,97099998
15-10-25 13:00:00;83.655,34200000
15-10-25 14:00:00;85.332,18500000
15-10-25 15:00:00;86.435,93700000
15-10-25 16:00:00;87.752,79999998
15-10-25 17:00:00;87.780,50799999
15-10-25 18:00:00;90.970,25899999
15-10-25 19:00:00;92.879,06599998
15-10-25 20:00:00;91.429,95199999
15-10-25 21:00:00;90.254,17199998
15-10-25 22:00:00;87.069,46899998
15-10-25 23:00:00;81.860,42899998
16-10-25 00:00:00;76.776,41200000
16-10-25 01:00:00;73.009,49999999
16-10-25 02:00:00;70.562,16199998
16-10-25 03:00:00;69.433,28500000
16-10-25 04:00:00;69.388,59299998
16-10-25 05:00:00;70.641,95199998
16-10-25 06:00:00;73.703,57299999
16-10-25 07:00:00;77.352,96500000
16-10-25 08:00:00;80.708,33899999
16-10-25 09:00:00;82.480,49200000
16-10-25 10:00:00;84.882,26600000
16-10-25 11:00:00;86.294,95899998
16-10-25 12:00:00;84.996,79699999
16-10-25 13:00:00;87.474,89299998
16-10-25 14:00:00;89.415,25700000
16-10-25 15:00:00;90.229,76499998
16-10-25 16:00:00;91.216,10699999
16-10-25 17:00:00;90.268,36399998
16-10-25 18:00:00;92.983,13899998
16-10-25 19:00:00;93.823,46399998
16-10-25 20:00:00;92.183,37699998
16-10-25 21:00:00;91.323,30399999
16-10-25 22:00:00;88.343,53299998
16-10-25 23:00:00;83.529,84099999
17-10-25 00:00:00;78.477,66299999
17-10-25 01:00:00;74.815,63999999
17-10-25 02:00:00;72.278,96599999
17-10-25 03:00:00;70.919,54699998
17-10-25 04:00:00;70.625,25399999
17-10-25 05:00:00;71.822,03699999
17-10-25 06:00:00;75.145,82799999
17-10-25 07:00:00;78.997,75600000
17-10-25 08:00:00;83.350,98099999
17-10-25 09:00:00;85.908,92999999
17-10-25 10:00:00;88.488,45400000
17-10-25 11:00:00;89.214,97199999
17-10-25 12:00:00;88.241,87200000
17-10-25 13:00:00;91.509,06499998
17-10-25 14:00:00;93.193,05099998
17-10-25 15:00:00;93.394,70099998
17-10-25 16:00:00;93.366,23699998
17-10-25 17:00:00;91.878,96199998
17-10-25 18:00:00;94.379,23599999
17-10-25 19:00:00;94.389,59499999
17-10-25 20:00:00;92.267,74399996
17-10-25 21:00:00;90.634,97699998
17-10-25 22:00:00;87.781,85899998
17-10-25 23:00:00;84.795,33400000
18-10-25 00:00:00;80.187,36299998
18-10-25 01:00:00;76.556,56999999
18-10-25 02:00:00;74.094,64999998
18-10-25 03:00:00;72.580,51799999
18-10-25 04:00:00;71.973,16799997
18-10-25 05:00:00;71.168,42399998
18-10-25 06:00:00;71.316,37799998
18-10-25 07:00:00;73.336,67400000
18-10-25 08:00:00;77.521,78299999
18-10-25 09:00:00;80.236,00099998
18-10-25 10:00:00;81.598,80799998
18-10-25 11:00:00;81.858,36200000
18-10-25 12:00:00;80.394,93700000
18-10-25 13:00:00;78.991,01400000
18-10-25 14:00:00;77.947,88099998
18-10-25 15:00:00;77.652,78699999
18-10-25 16:00:00;79.091,75599999
18-10-25 17:00:00;81.510,93699998
18-10-25 18:00:00;86.440,12699998
18-10-25 19:00:00;87.229,94899997
18-10-25 20:00:00;84.938,31999999
18-10-25 21:00:00;82.481,22900000
18-10-25 22:00:00;79.172,62500000
18-10-25 23:00:00;75.404,85399999
19-10-25 00:00:00;71.623,12199998
19-10-25 01:00:00;68.434,61699998
19-10-25 02:00:00;66.159,00699998
19-10-25 03:00:00;64.777,74499998
19-10-25 04:00:00;64.018,19300000
19-10-25 05:00:00;62.769,77600000
19-10-25 06:00:00;61.595,24999998
19-10-25 07:00:00;61.105,32099998
19-10-25 08:00:00;61.219,32299998
19-10-25 09:00:00;61.857,69699998
19-10-25 10:00:00;63.466,55399998
19-10-25 11:00:00;65.293,69999998
19-10-25 12:00:00;65.221,21299999
19-10-25 13:00:00;63.842,20499998
19-10-25 14:00:00;63.526,34799998
19-10-25 15:00:00;63.720,24999998
19-10-25 16:00:00;66.363,79500000
19-10-25 17:00:00;72.240,89400000
19-10-25 18:00:00;79.286,17500000
19-10-25 19:00:00;81.186,77399999
19-10-25 20:00:00;79.767,11399999
19-10-25 21:00:00;78.107,70999998
19-10-25 22:00:00;75.304,87499997
19-10-25 23:00:00;71.067,76499999
